95	96	116
95	116	115
115	116	136
115	136	135
135	136	156
135	156	155
155	156	176
155	176	175
175	176	196
175	196	195
195	196	216
195	216	215
215	216	236
215	236	235
235	236	256
235	256	255
255	256	276
255	276	275
275	276	296
275	296	295
295	296	316
295	316	315
315	316	336
315	336	335
335	336	356
335	356	355
355	356	376
355	376	375
375	376	396
375	396	395
395	396	416
395	416	415
16	17	37
16	37	36
36	37	57
36	57	56
56	57	77
56	77	76
76	77	97
76	97	96
96	97	117
96	117	116
116	117	137
116	137	136
136	137	157
136	157	156
156	157	177
156	177	176
176	177	197
176	197	196
196	197	217
196	217	216
216	217	237
216	237	236
236	237	257
236	257	256
256	257	277
256	277	276
276	277	297
276	297	296
296	297	317
296	317	316
316	317	337
316	337	336
336	337	357
336	357	356
356	357	377
356	377	376
376	377	397
376	397	396
396	397	417
396	417	416
17	18	38
17	38	37
37	38	58
37	58	57
57	58	78
57	78	77
77	78	98
77	98	97
97	98	118
97	118	117
117	118	138
117	138	137
137	138	158
137	158	157
157	158	178
157	178	177
177	178	198
177	198	197
197	198	218
197	218	217
217	218	238
217	238	237
237	238	258
237	258	257
257	258	278
257	278	277
277	278	298
277	298	297
297	298	318
297	318	317
317	318	338
317	338	337
337	338	358
337	358	357
357	358	378
357	378	377
377	378	398
377	398	397
397	398	418
397	418	417
18	19	39
18	39	38
38	39	59
38	59	58
58	59	79
58	79	78
78	79	99
78	99	98
98	99	119
98	119	118
118	119	139
118	139	138
138	139	159
138	159	158
158	159	179
158	179	178
178	179	199
178	199	198
198	199	219
198	219	218
218	219	239
218	239	238
238	239	259
238	259	258
258	259	279
258	279	278
278	279	299
278	299	298
